               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.049458,            0.013251,                   0,             0.99976,                0.75,               0.795,             0.54645,            0.039064,           0.0072064,                   0,           0.0097088,           0.0097088,            0.012309
                  39,            0.039201,            0.014884,                   0,             0.99961,                0.75,             0.88786,             0.51163,            0.028394,            0.007201,                   0,           0.0099563,           0.0099563,            0.010056
                  40,            0.039925,            0.014691,                   0,             0.99981,                0.75,               0.845,             0.22461,            0.046384,           0.0066222,                   0,           0.0099645,           0.0099645,           0.0099645
                  41,            0.041607,            0.014606,                   0,             0.49974,                   1,               0.572,             0.20546,            0.045144,           0.0062055,                   0,           0.0099645,           0.0099645,           0.0099645
                  42,            0.051262,            0.010706,                   0,             0.79986,             0.99928,               0.895,             0.47274,            0.036435,            0.007088,                   0,           0.0099627,           0.0099627,           0.0099627
                  43,            0.038708,            0.014718,                   0,                   1,              0.9999,               0.995,              0.5594,            0.026143,           0.0069416,                   0,           0.0099609,           0.0099609,           0.0099609
                  44,            0.035592,            0.016379,                   0,             0.99903,                   1,               0.995,             0.53076,            0.025553,           0.0067375,                   0,            0.009959,            0.009959,            0.009959
                  45,            0.034423,            0.012409,                   0,             0.59913,                0.75,             0.75611,             0.28175,            0.028955,           0.0068785,                   0,           0.0099571,           0.0099571,           0.0099571
                  46,            0.034259,            0.011861,                   0,                   1,             0.74553,                0.87,             0.67107,            0.028355,           0.0071156,                   0,           0.0099551,           0.0099551,           0.0099551
                  47,            0.035626,            0.011706,                   0,              0.7488,                0.75,             0.73111,             0.43733,            0.036114,           0.0063027,                   0,           0.0099531,           0.0099531,           0.0099531
                  48,            0.036283,            0.014019,                   0,             0.74868,                0.75,              0.7825,             0.38516,            0.029886,           0.0068086,                   0,            0.009951,            0.009951,            0.009951
                  49,            0.040974,            0.011747,                   0,             0.57134,                   1,             0.78786,             0.36328,            0.040194,           0.0067345,                   0,           0.0099489,           0.0099489,           0.0099489
                  50,            0.039869,            0.012877,                   0,             0.74905,                0.75,             0.66986,             0.41371,             0.03868,           0.0068906,                   0,           0.0099468,           0.0099468,           0.0099468
                  51,            0.041798,            0.013772,                   0,             0.99556,                0.75,             0.85611,             0.35406,             0.03628,           0.0061143,                   0,           0.0099446,           0.0099446,           0.0099446
                  52,            0.036637,            0.011647,                   0,             0.74984,                0.75,             0.82536,             0.44259,            0.028386,           0.0063694,                   0,           0.0099424,           0.0099424,           0.0099424
                  53,             0.03439,            0.012064,                   0,             0.99435,                0.75,             0.91167,             0.65466,            0.027439,           0.0061162,                   0,           0.0099401,           0.0099401,           0.0099401
                  54,            0.034576,            0.012166,                   0,             0.99928,                0.75,             0.91167,             0.69628,            0.026271,           0.0065147,                   0,           0.0099378,           0.0099378,           0.0099378
                  55,            0.032349,           0.0099777,                   0,                   1,             0.74984,             0.91167,             0.58021,            0.025642,           0.0058128,                   0,           0.0099354,           0.0099354,           0.0099354
                  56,            0.033736,            0.010516,                   0,              0.6666,             0.99976,             0.84917,             0.48713,            0.031057,           0.0048536,                   0,            0.009933,            0.009933,            0.009933
                  57,            0.027419,            0.010018,                   0,             0.66643,                   1,             0.82833,              0.2485,            0.034996,           0.0044641,                   0,           0.0099305,           0.0099305,           0.0099305
                  58,            0.034858,           0.0084804,                   0,             0.79977,                   1,               0.895,             0.51249,             0.03538,            0.004693,                   0,            0.009928,            0.009928,            0.009928
                  59,            0.033028,            0.010912,                   0,             0.99574,                   1,               0.995,             0.50578,            0.023509,           0.0051684,                   0,           0.0099255,           0.0099255,           0.0099255
                  60,            0.031851,           0.0084655,                   0,             0.99822,                   1,               0.995,              0.6965,              0.0237,           0.0050278,                   0,           0.0099229,           0.0099229,           0.0099229
